Country,Timestamp,Device Category,Key Actions,Page Path,Source,Avg Session Duration,Bounce Rate,Conversions,New Users,Page Views,Returning Users,Unique Page Views,Average time on home page (min),Website,Date,Time,Day
uk,2019-06-01 15:43:00,mobile,download,/products,paid search,98.0,61.0,23.0,57.0,612.0,383.0,1378.0,5.89,prime video,2019-06-01,15:43:00,sunday
india,2019-07-01 05:41:00,desktop,sign up,/blog,direct,83.0,29.0,29.0,161.0,462.0,38.0,1088.0,2.05,amazon music,2019-07-01,05:41:00,monday
australia,2019-07-01 06:14:00,mobile,sign up,/blog,organic search,72.0,66.0,8.0,629.0,1111.0,53.0,1078.0,3.27,amazon.com,2019-07-01,06:14:00,monday
canada,2019-07-01 06:31:00,mobile,sign up,/home,organic search,110.0,25.0,5.0,959.0,596.0,146.0,698.0,3.26,amazon music,2019-07-01,06:31:00,monday
australia,2019-08-01 06:59:00,mobile,subscribe,/contact,paid search,119.0,58.0,36.0,477.0,511.0,426.0,537.0,1.1,amazon prime,2019-08-01,06:59:00,tuesday
india,2019-08-01 09:32:00,desktop,download,/about,direct,99.0,25.0,28.0,747.0,1803.0,182.0,734.0,5.8,prime video,2019-08-01,09:32:00,tuesday
canada,2019-08-01 10:18:00,mobile,download,/home,direct,53.0,61.0,25.0,153.0,1448.0,51.0,589.0,2.18,prime video,2019-08-01,10:18:00,tuesday
usa,2019-08-01 22:00:00,mobile,sign up,/products,social media,169.0,24.0,26.0,627.0,752.0,238.0,1143.0,0.98,amazon.com,2019-08-01,22:00:00,tuesday
canada,2019-09-01 01:27:00,mobile,subscribe,/products,social media,110.0,30.0,32.0,876.0,486.0,131.0,338.0,2.99,audible,2019-09-01,01:27:00,wednesday
australia,2019-09-01 02:10:00,mobile,purchase,/blog,referral,106.0,69.0,0.0,812.0,1734.0,261.0,97.0,4.9,amazon.com,2019-09-01,02:10:00,wednesday
australia,2019-09-01 06:52:00,tablet,purchase,/about,organic search,89.0,63.0,23.0,436.0,1000.0,313.0,466.0,2.52,amazon.com,2019-09-01,06:52:00,wednesday
uk,2019-09-01 08:46:00,tablet,download,/blog,referral,173.0,55.0,25.0,89.0,1096.0,294.0,1205.0,4.8,amazon music,2019-09-01,08:46:00,wednesday
canada,2019-09-01 09:29:00,tablet,download,/contact,direct,53.0,30.0,28.0,652.0,1079.0,426.0,328.0,1.03,prime video,2019-09-01,09:29:00,wednesday
usa,2019-09-01 13:47:00,desktop,subscribe,/home,organic search,84.0,59.0,3.0,537.0,1486.0,396.0,146.0,4.02,amazon prime,2019-09-01,13:47:00,wednesday
india,2019-10-01 09:57:00,tablet,purchase,/products,social media,74.0,59.0,37.0,969.0,255.0,189.0,976.0,1.02,amazon.com,2019-10-01,09:57:00,thursday
canada,2019-10-01 19:29:00,mobile,download,/about,paid search,112.0,33.0,22.0,419.0,387.0,89.0,1324.0,4.01,prime video,2019-10-01,19:29:00,thursday
india,2019-11-01 07:23:00,mobile,contact form,/products,direct,37.0,56.0,46.0,965.0,531.0,312.0,1156.0,3.69,amazon help,2019-11-01,07:23:00,friday
usa,2019-11-01 14:46:00,mobile,purchase,/blog,referral,171.0,53.0,24.0,24.0,1110.0,422.0,212.0,5.86,amazon.com,2019-11-01,14:46:00,friday
india,2019-11-01 17:01:00,desktop,contact form,/contact,referral,169.0,49.0,34.0,821.0,1322.0,94.0,1300.0,3.11,aws support,2019-11-01,17:01:00,friday
usa,2019-11-01 19:26:00,mobile,purchase,/about,direct,82.0,42.0,46.0,610.0,1676.0,56.0,731.0,2.53,amazon.com,2019-11-01,19:26:00,friday
canada,2019-12-01 09:12:00,desktop,contact form,/home,social media,176.0,53.0,42.0,536.0,452.0,79.0,586.0,1.47,amazon help,2019-12-01,09:12:00,saturday
canada,2019-12-01 17:48:00,mobile,download,/home,social media,65.0,49.0,43.0,645.0,864.0,297.0,494.0,2.06,amazon music,2019-12-01,17:48:00,saturday
canada,2019-01-02 06:50:00,tablet,purchase,/contact,social media,47.0,31.0,18.0,317.0,1007.0,166.0,1234.0,3.9,amazon.com,2019-01-02,06:50:00,friday
canada,2019-01-02 12:13:00,tablet,purchase,/home,direct,93.0,37.0,31.0,366.0,1891.0,69.0,555.0,3.83,amazon.com,2019-01-02,12:13:00,friday
usa,2019-01-02 19:50:00,mobile,contact form,/about,organic search,142.0,33.0,8.0,180.0,555.0,220.0,577.0,1.57,amazon help,2019-01-02,19:50:00,friday
usa,2019-02-02 08:20:00,mobile,sign up,/home,paid search,81.0,53.0,29.0,583.0,957.0,203.0,679.0,3.33,amazon.com,2019-02-02,08:20:00,saturday
uk,2019-02-02 10:26:00,mobile,subscribe,/blog,paid search,171.0,49.0,2.0,849.0,732.0,469.0,408.0,1.87,amazon web services (aws),2019-02-02,10:26:00,saturday
canada,2019-02-02 14:02:00,desktop,purchase,/contact,direct,70.0,37.0,35.0,341.0,1122.0,89.0,543.0,1.59,amazon.com,2019-02-02,14:02:00,saturday
canada,2019-03-02 02:53:00,tablet,subscribe,/contact,organic search,127.0,28.0,42.0,417.0,324.0,489.0,711.0,5.14,amazon web services (aws),2019-03-02,02:53:00,sunday
australia,2019-03-02 20:44:00,mobile,contact form,/blog,referral,96.0,41.0,29.0,60.0,886.0,470.0,419.0,3.05,aws support,2019-03-02,20:44:00,sunday
india,2019-04-02 10:40:00,mobile,purchase,/home,direct,134.0,21.0,21.0,185.0,347.0,80.0,94.0,3.44,amazon.com,2019-04-02,10:40:00,monday
australia,2019-04-02 11:42:00,mobile,contact form,/home,direct,123.0,63.0,44.0,935.0,987.0,450.0,198.0,4.77,amazon support,2019-04-02,11:42:00,monday
uk,2019-04-02 12:38:00,mobile,sign up,/contact,social media,78.0,32.0,42.0,71.0,1146.0,227.0,310.0,1.47,amazon music,2019-04-02,12:38:00,monday
india,2019-04-02 20:27:00,desktop,contact form,/products,referral,98.0,64.0,15.0,926.0,149.0,317.0,1164.0,4.76,amazon support,2019-04-02,20:27:00,monday
australia,2019-05-02 01:50:00,desktop,purchase,/home,paid search,32.0,50.0,18.0,112.0,1359.0,453.0,234.0,5.18,amazon.com,2019-05-02,01:50:00,tuesday
canada,2019-05-02 15:14:00,mobile,sign up,/contact,paid search,44.0,25.0,18.0,965.0,1964.0,349.0,680.0,3.17,amazon prime,2019-05-02,15:14:00,tuesday
canada,2019-05-02 16:22:00,mobile,purchase,/products,paid search,173.0,32.0,42.0,77.0,1028.0,20.0,110.0,3.94,amazon.com,2019-05-02,16:22:00,tuesday
india,2019-06-02 01:26:00,mobile,download,/blog,organic search,53.0,57.0,12.0,533.0,166.0,131.0,678.0,4.65,prime video,2019-06-02,01:26:00,wednesday
canada,2019-06-02 20:30:00,tablet,sign up,/home,paid search,154.0,53.0,42.0,235.0,1163.0,215.0,1279.0,1.54,amazon prime,2019-06-02,20:30:00,wednesday
india,2019-06-02 21:40:00,mobile,contact form,/blog,direct,82.0,25.0,34.0,451.0,865.0,289.0,989.0,4.31,amazon support,2019-06-02,21:40:00,wednesday
uk,2019-07-02 00:55:00,mobile,sign up,/home,referral,101.0,33.0,47.0,671.0,1364.0,330.0,452.0,4.18,amazon music,2019-07-02,00:55:00,thursday
canada,2019-07-02 02:21:00,desktop,download,/home,direct,92.0,55.0,44.0,821.0,542.0,121.0,1456.0,4.42,amazon music,2019-07-02,02:21:00,thursday
usa,2019-07-02 05:15:00,mobile,subscribe,/products,paid search,62.0,42.0,42.0,514.0,1762.0,460.0,1171.0,5.48,amazon web services (aws),2019-07-02,05:15:00,thursday
usa,2019-08-02 11:45:00,tablet,sign up,/home,paid search,144.0,42.0,18.0,268.0,681.0,432.0,892.0,4.6,amazon prime,2019-08-02,11:45:00,friday
uk,2019-09-02 16:38:00,mobile,subscribe,/contact,social media,58.0,57.0,0.0,79.0,1780.0,226.0,379.0,2.51,amazon prime,2019-09-02,16:38:00,saturday
usa,2019-09-02 17:15:00,desktop,subscribe,/about,social media,164.0,31.0,18.0,705.0,207.0,450.0,1075.0,4.79,audible,2019-09-02,17:15:00,saturday
uk,2019-10-02 15:32:00,desktop,subscribe,/home,direct,73.0,69.0,27.0,133.0,949.0,385.0,692.0,1.79,audible,2019-10-02,15:32:00,sunday
usa,2019-10-02 19:14:00,mobile,sign up,/blog,organic search,146.0,64.0,37.0,714.0,951.0,384.0,706.0,3.67,amazon music,2019-10-02,19:14:00,sunday
canada,2019-10-02 19:51:00,desktop,download,/contact,referral,67.0,64.0,37.0,709.0,1676.0,147.0,999.0,4.8,prime video,2019-10-02,19:51:00,sunday
canada,2019-11-02 19:47:00,mobile,subscribe,/home,paid search,105.0,60.0,26.0,783.0,109.0,441.0,758.0,4.01,amazon web services (aws),2019-11-02,19:47:00,monday
uk,2019-12-02 20:19:00,mobile,purchase,/about,direct,103.0,53.0,11.0,623.0,1947.0,248.0,1308.0,2.5,amazon.com,2019-12-02,20:19:00,tuesday
australia,2019-12-02 22:19:00,mobile,subscribe,/blog,referral,62.0,56.0,6.0,967.0,1593.0,138.0,860.0,3.75,amazon prime,2019-12-02,22:19:00,tuesday
india,2019-01-03 08:14:00,desktop,subscribe,/about,direct,35.0,37.0,34.0,707.0,341.0,184.0,242.0,3.87,amazon prime,2019-01-03,08:14:00,friday
uk,2019-01-03 13:44:00,desktop,purchase,/contact,direct,86.0,42.0,30.0,884.0,970.0,281.0,1110.0,2.25,amazon.com,2019-01-03,13:44:00,friday
uk,2019-01-03 22:49:00,mobile,purchase,/blog,organic search,53.0,32.0,29.0,398.0,1885.0,196.0,903.0,5.92,amazon.com,2019-01-03,22:49:00,friday
india,2019-01-03 22:52:00,mobile,download,/contact,paid search,132.0,43.0,36.0,289.0,1886.0,205.0,1295.0,5.2,prime video,2019-01-03,22:52:00,friday
india,2019-03-03 06:39:00,mobile,purchase,/home,social media,132.0,35.0,49.0,935.0,529.0,465.0,1212.0,4.33,amazon.com,2019-03-03,06:39:00,sunday
usa,2019-03-03 07:32:00,mobile,purchase,/products,referral,160.0,33.0,35.0,367.0,921.0,159.0,1290.0,3.47,amazon.com,2019-03-03,07:32:00,sunday
australia,2019-03-03 09:19:00,mobile,subscribe,/contact,organic search,144.0,48.0,6.0,202.0,917.0,178.0,1467.0,5.19,amazon web services (aws),2019-03-03,09:19:00,sunday
australia,2019-04-03 08:14:00,mobile,purchase,/blog,social media,168.0,40.0,47.0,668.0,934.0,174.0,121.0,5.38,amazon.com,2019-04-03,08:14:00,monday
canada,2019-04-03 08:51:00,mobile,subscribe,/products,referral,145.0,37.0,3.0,563.0,1092.0,24.0,599.0,1.54,amazon prime,2019-04-03,08:51:00,monday
india,2019-05-03 07:18:00,mobile,download,/about,paid search,73.0,26.0,15.0,232.0,1481.0,450.0,146.0,4.07,prime video,2019-05-03,07:18:00,tuesday
usa,2019-05-03 13:58:00,desktop,download,/home,organic search,49.0,69.0,29.0,844.0,472.0,72.0,93.0,2.45,amazon music,2019-05-03,13:58:00,tuesday
uk,2019-06-03 00:36:00,desktop,download,/about,direct,163.0,54.0,13.0,272.0,1031.0,108.0,1375.0,1.53,amazon music,2019-06-03,00:36:00,wednesday
canada,2019-06-03 07:25:00,tablet,purchase,/home,direct,176.0,20.0,31.0,643.0,653.0,358.0,513.0,1.9,amazon.com,2019-06-03,07:25:00,wednesday
canada,2019-07-03 02:13:00,mobile,sign up,/contact,paid search,48.0,46.0,12.0,408.0,179.0,312.0,613.0,5.56,amazon music,2019-07-03,02:13:00,thursday
usa,2019-07-03 04:41:00,mobile,contact form,/blog,organic search,58.0,58.0,18.0,377.0,480.0,455.0,1182.0,2.06,aws support,2019-07-03,04:41:00,thursday
australia,2019-07-03 11:57:00,mobile,download,/home,referral,49.0,37.0,7.0,245.0,1335.0,492.0,1086.0,5.47,prime video,2019-07-03,11:57:00,thursday
india,2019-07-03 12:30:00,mobile,contact form,/contact,organic search,139.0,40.0,3.0,588.0,1519.0,30.0,452.0,5.0,aws support,2019-07-03,12:30:00,thursday
usa,2019-07-03 16:44:00,mobile,sign up,/about,organic search,41.0,42.0,30.0,639.0,1272.0,250.0,1361.0,2.13,amazon prime,2019-07-03,16:44:00,thursday
usa,2019-07-03 21:23:00,desktop,download,/blog,organic search,109.0,55.0,29.0,257.0,190.0,323.0,1105.0,3.87,amazon music,2019-07-03,21:23:00,thursday
australia,2019-08-03 01:42:00,desktop,subscribe,/about,social media,70.0,22.0,19.0,96.0,605.0,167.0,1322.0,2.09,amazon web services (aws),2019-08-03,01:42:00,friday
australia,2019-08-03 12:49:00,desktop,contact form,/home,referral,166.0,61.0,38.0,844.0,508.0,120.0,1364.0,3.52,aws support,2019-08-03,12:49:00,friday
australia,2019-08-03 18:56:00,desktop,subscribe,/contact,social media,114.0,34.0,23.0,87.0,183.0,382.0,291.0,4.51,audible,2019-08-03,18:56:00,friday
india,2019-08-03 20:45:00,mobile,download,/contact,social media,143.0,41.0,25.0,694.0,1561.0,172.0,250.0,2.21,prime video,2019-08-03,20:45:00,friday
australia,2019-09-03 05:11:00,mobile,sign up,/home,organic search,162.0,52.0,14.0,133.0,1067.0,210.0,866.0,2.19,amazon prime,2019-09-03,05:11:00,saturday
australia,2019-09-03 20:51:00,desktop,subscribe,/contact,social media,147.0,67.0,14.0,827.0,568.0,372.0,687.0,3.35,amazon prime,2019-09-03,20:51:00,saturday
australia,2019-10-03 00:27:00,desktop,contact form,/products,social media,97.0,52.0,48.0,308.0,470.0,91.0,234.0,1.94,aws support,2019-10-03,00:27:00,sunday
australia,2019-11-03 13:47:00,mobile,purchase,/home,direct,98.0,33.0,2.0,106.0,1843.0,83.0,1254.0,3.97,amazon.com,2019-11-03,13:47:00,monday
canada,2019-12-03 08:21:00,mobile,contact form,/about,organic search,65.0,25.0,19.0,404.0,353.0,341.0,1415.0,1.52,aws support,2019-12-03,08:21:00,tuesday
india,2019-12-03 10:43:00,desktop,download,/about,direct,132.0,30.0,38.0,472.0,1077.0,357.0,1253.0,5.35,prime video,2019-12-03,10:43:00,tuesday
usa,2019-12-03 12:08:00,mobile,download,/blog,referral,164.0,44.0,22.0,546.0,309.0,283.0,626.0,2.07,amazon music,2019-12-03,12:08:00,tuesday
australia,2019-12-03 13:55:00,mobile,sign up,/blog,direct,116.0,31.0,32.0,818.0,1262.0,330.0,145.0,2.9,amazon.com,2019-12-03,13:55:00,tuesday
australia,2019-12-03 14:25:00,tablet,contact form,/blog,organic search,133.0,67.0,43.0,943.0,834.0,7.0,784.0,4.33,aws support,2019-12-03,14:25:00,tuesday
uk,2019-12-03 15:50:00,mobile,subscribe,/home,social media,30.0,44.0,17.0,904.0,1391.0,290.0,1024.0,2.94,amazon prime,2019-12-03,15:50:00,tuesday
india,2019-01-04 02:16:00,mobile,purchase,/contact,social media,69.0,21.0,18.0,596.0,789.0,475.0,1211.0,5.19,amazon.com,2019-01-04,02:16:00,monday
canada,2019-02-04 05:52:00,mobile,contact form,/blog,referral,145.0,48.0,3.0,130.0,1711.0,25.0,637.0,1.23,aws support,2019-02-04,05:52:00,tuesday
india,2019-02-04 21:14:00,desktop,contact form,/blog,social media,63.0,35.0,42.0,997.0,990.0,437.0,812.0,4.42,amazon support,2019-02-04,21:14:00,tuesday
india,2019-02-04 21:58:00,desktop,contact form,/about,organic search,106.0,59.0,31.0,291.0,1715.0,34.0,790.0,5.0,amazon help,2019-02-04,21:58:00,tuesday
australia,2019-03-04 11:10:00,mobile,download,/about,referral,96.0,20.0,32.0,552.0,1011.0,424.0,1079.0,5.69,prime video,2019-03-04,11:10:00,wednesday
australia,2019-03-04 14:54:00,mobile,subscribe,/home,organic search,31.0,51.0,35.0,312.0,1302.0,22.0,1092.0,1.76,amazon web services (aws),2019-03-04,14:54:00,wednesday
uk,2019-03-04 19:42:00,desktop,contact form,/contact,direct,61.0,24.0,14.0,472.0,1210.0,255.0,1237.0,3.59,aws support,2019-03-04,19:42:00,wednesday
usa,2019-03-04 20:56:00,mobile,download,/about,direct,115.0,52.0,19.0,33.0,787.0,187.0,1254.0,2.04,prime video,2019-03-04,20:56:00,wednesday
canada,2019-04-04 15:50:00,mobile,sign up,/home,organic search,42.0,64.0,27.0,141.0,1019.0,393.0,260.0,2.19,amazon prime,2019-04-04,15:50:00,thursday
india,2019-05-04 14:10:00,tablet,subscribe,/about,social media,93.0,65.0,4.0,319.0,1712.0,266.0,1482.0,5.08,amazon prime,2019-05-04,14:10:00,friday
usa,2019-05-04 14:43:00,tablet,contact form,/blog,social media,61.0,31.0,14.0,289.0,550.0,464.0,1017.0,2.57,amazon support,2019-05-04,14:43:00,friday
uk,2019-06-04 12:06:00,mobile,download,/products,referral,148.0,41.0,33.0,496.0,316.0,460.0,504.0,2.09,prime video,2019-06-04,12:06:00,saturday
canada,2019-07-04 18:01:00,mobile,sign up,/contact,direct,81.0,47.0,15.0,706.0,1019.0,473.0,488.0,1.37,amazon.com,2019-07-04,18:01:00,sunday
uk,2019-08-04 00:42:00,tablet,subscribe,/contact,direct,126.0,61.0,29.0,797.0,527.0,440.0,658.0,4.73,amazon prime,2019-08-04,00:42:00,monday
canada,2019-08-04 08:06:00,desktop,sign up,/about,paid search,141.0,28.0,2.0,770.0,101.0,39.0,1251.0,2.85,amazon music,2019-08-04,08:06:00,monday
uk,2019-08-04 13:30:00,mobile,purchase,/contact,social media,39.0,21.0,7.0,589.0,1182.0,221.0,481.0,5.43,amazon.com,2019-08-04,13:30:00,monday
uk,2019-08-04 14:13:00,tablet,purchase,/blog,direct,153.0,41.0,49.0,82.0,768.0,97.0,1269.0,2.93,amazon.com,2019-08-04,14:13:00,monday
usa,2019-08-04 15:36:00,mobile,subscribe,/products,direct,30.0,29.0,4.0,832.0,461.0,285.0,906.0,1.11,amazon web services (aws),2019-08-04,15:36:00,monday
australia,2019-09-04 03:12:00,mobile,subscribe,/contact,paid search,30.0,59.0,0.0,228.0,1941.0,273.0,199.0,1.99,amazon web services (aws),2019-09-04,03:12:00,tuesday
australia,2019-09-04 18:55:00,tablet,contact form,/about,paid search,136.0,54.0,21.0,704.0,1519.0,192.0,1435.0,2.34,aws support,2019-09-04,18:55:00,tuesday
india,2019-09-04 19:01:00,mobile,purchase,/products,social media,102.0,27.0,22.0,132.0,1699.0,98.0,172.0,3.06,amazon.com,2019-09-04,19:01:00,tuesday
australia,2019-10-04 05:21:00,mobile,purchase,/products,social media,48.0,26.0,35.0,685.0,196.0,176.0,1394.0,2.36,amazon.com,2019-10-04,05:21:00,wednesday
uk,2019-10-04 14:28:00,desktop,sign up,/blog,social media,31.0,21.0,46.0,143.0,773.0,268.0,904.0,3.69,amazon.com,2019-10-04,14:28:00,wednesday
uk,2019-10-04 22:57:00,mobile,download,/contact,paid search,121.0,27.0,41.0,46.0,307.0,139.0,557.0,4.46,prime video,2019-10-04,22:57:00,wednesday
canada,2019-11-04 11:17:00,mobile,sign up,/about,paid search,32.0,22.0,27.0,533.0,1574.0,70.0,713.0,2.34,amazon music,2019-11-04,11:17:00,thursday
usa,2019-11-04 23:51:00,mobile,download,/products,social media,80.0,24.0,39.0,889.0,1165.0,107.0,288.0,1.05,prime video,2019-11-04,23:51:00,thursday
australia,2019-12-04 03:11:00,desktop,purchase,/about,social media,122.0,51.0,37.0,348.0,1579.0,281.0,539.0,4.1,amazon.com,2019-12-04,03:11:00,friday
canada,2019-12-04 13:41:00,desktop,sign up,/home,referral,102.0,59.0,25.0,744.0,1215.0,51.0,888.0,4.11,amazon.com,2019-12-04,13:41:00,friday
india,2019-01-05 10:36:00,tablet,purchase,/about,referral,43.0,24.0,43.0,886.0,1577.0,190.0,323.0,3.8,amazon.com,2019-01-05,10:36:00,wednesday
canada,2019-01-05 12:48:00,desktop,download,/home,social media,158.0,42.0,5.0,31.0,375.0,88.0,859.0,2.73,amazon music,2019-01-05,12:48:00,wednesday
australia,2019-02-05 01:26:00,mobile,sign up,/products,direct,69.0,66.0,24.0,194.0,666.0,151.0,922.0,2.2,amazon music,2019-02-05,01:26:00,thursday
australia,2019-02-05 21:42:00,mobile,contact form,/products,social media,112.0,37.0,5.0,821.0,1035.0,438.0,1190.0,1.89,aws support,2019-02-05,21:42:00,thursday
canada,2019-02-05 23:33:00,desktop,subscribe,/products,social media,150.0,25.0,27.0,871.0,1396.0,83.0,1160.0,2.68,audible,2019-02-05,23:33:00,thursday
canada,2019-03-05 01:25:00,mobile,subscribe,/blog,social media,74.0,38.0,33.0,647.0,726.0,232.0,504.0,1.49,amazon web services (aws),2019-03-05,01:25:00,friday
australia,2019-03-05 04:25:00,mobile,purchase,/blog,paid search,84.0,47.0,24.0,407.0,475.0,26.0,566.0,1.67,amazon.com,2019-03-05,04:25:00,friday
uk,2019-03-05 14:33:00,desktop,download,/home,social media,49.0,50.0,32.0,505.0,1858.0,317.0,568.0,4.43,amazon music,2019-03-05,14:33:00,friday
uk,2019-03-05 20:32:00,mobile,subscribe,/contact,referral,119.0,26.0,42.0,740.0,522.0,29.0,169.0,1.4,amazon prime,2019-03-05,20:32:00,friday
india,2019-04-05 08:15:00,mobile,contact form,/about,social media,141.0,30.0,38.0,393.0,1897.0,496.0,1266.0,3.78,amazon help,2019-04-05,08:15:00,saturday
usa,2019-04-05 17:13:00,desktop,contact form,/about,paid search,133.0,47.0,42.0,791.0,1717.0,132.0,436.0,3.78,amazon support,2019-04-05,17:13:00,saturday
india,2019-04-05 17:35:00,mobile,subscribe,/products,organic search,50.0,22.0,18.0,149.0,1111.0,30.0,155.0,3.81,amazon web services (aws),2019-04-05,17:35:00,saturday
india,2019-05-05 16:26:00,mobile,sign up,/about,social media,172.0,51.0,27.0,638.0,971.0,143.0,498.0,0.9,amazon prime,2019-05-05,16:26:00,sunday
australia,2019-06-05 03:23:00,mobile,subscribe,/blog,organic search,58.0,55.0,44.0,196.0,178.0,31.0,539.0,5.01,amazon web services (aws),2019-06-05,03:23:00,monday
uk,2019-06-05 06:41:00,desktop,download,/blog,paid search,152.0,29.0,24.0,526.0,231.0,464.0,81.0,5.83,prime video,2019-06-05,06:41:00,monday
uk,2019-06-05 14:45:00,tablet,purchase,/home,direct,156.0,66.0,23.0,117.0,667.0,316.0,754.0,5.03,amazon.com,2019-06-05,14:45:00,monday
usa,2019-06-05 16:08:00,mobile,purchase,/blog,direct,54.0,23.0,43.0,453.0,1278.0,96.0,296.0,4.88,amazon.com,2019-06-05,16:08:00,monday
india,2019-06-05 17:26:00,mobile,contact form,/blog,referral,150.0,35.0,44.0,963.0,1970.0,164.0,736.0,5.33,aws support,2019-06-05,17:26:00,monday
india,2019-06-05 17:33:00,desktop,purchase,/products,social media,123.0,24.0,13.0,445.0,929.0,489.0,471.0,5.81,amazon.com,2019-06-05,17:33:00,monday
usa,2019-06-05 20:44:00,mobile,sign up,/blog,direct,171.0,69.0,6.0,641.0,823.0,261.0,777.0,2.45,amazon prime,2019-06-05,20:44:00,monday
uk,2019-06-05 23:40:00,mobile,download,/contact,organic search,137.0,50.0,45.0,998.0,409.0,423.0,1086.0,1.03,amazon music,2019-06-05,23:40:00,monday
usa,2019-07-05 01:04:00,mobile,purchase,/about,referral,146.0,63.0,21.0,619.0,1743.0,173.0,134.0,2.29,amazon.com,2019-07-05,01:04:00,tuesday
australia,2019-07-05 16:15:00,mobile,contact form,/blog,referral,41.0,21.0,41.0,611.0,161.0,365.0,736.0,0.91,amazon support,2019-07-05,16:15:00,tuesday
australia,2019-07-05 19:55:00,mobile,sign up,/contact,social media,66.0,24.0,11.0,435.0,1014.0,328.0,1125.0,4.78,amazon prime,2019-07-05,19:55:00,tuesday
usa,2019-07-05 21:01:00,desktop,download,/blog,paid search,162.0,61.0,0.0,764.0,630.0,277.0,1453.0,2.51,amazon music,2019-07-05,21:01:00,tuesday
canada,2019-08-05 14:34:00,desktop,contact form,/about,referral,127.0,67.0,7.0,80.0,831.0,164.0,593.0,1.91,amazon help,2019-08-05,14:34:00,wednesday
canada,2019-08-05 15:44:00,tablet,download,/blog,organic search,50.0,23.0,4.0,629.0,914.0,435.0,423.0,3.78,amazon music,2019-08-05,15:44:00,wednesday
usa,2019-08-05 17:35:00,desktop,sign up,/contact,social media,109.0,33.0,47.0,674.0,446.0,428.0,760.0,1.35,amazon music,2019-08-05,17:35:00,wednesday
uk,2019-08-05 18:12:00,mobile,subscribe,/about,direct,176.0,29.0,40.0,910.0,252.0,478.0,1348.0,5.55,amazon web services (aws),2019-08-05,18:12:00,wednesday
canada,2019-08-05 20:54:00,desktop,subscribe,/contact,direct,39.0,54.0,10.0,700.0,472.0,371.0,1176.0,4.92,amazon web services (aws),2019-08-05,20:54:00,wednesday
canada,2019-08-05 22:45:00,desktop,purchase,/home,direct,144.0,37.0,24.0,183.0,1078.0,177.0,1182.0,3.41,amazon.com,2019-08-05,22:45:00,wednesday
canada,2019-09-05 02:48:00,mobile,download,/blog,paid search,165.0,49.0,0.0,648.0,1276.0,59.0,106.0,1.86,prime video,2019-09-05,02:48:00,thursday
australia,2019-09-05 17:34:00,desktop,download,/about,social media,105.0,27.0,47.0,708.0,814.0,280.0,230.0,3.26,prime video,2019-09-05,17:34:00,thursday
